DATATYPE	 3 Dimensional Data
XYZUNITS	 Nanometer;Nanometer;Emission
DECIMALSYMBOL	 ,
X/Y	220,0	225,0	230,0	235,0	240,0	245,0	250,0	255,0	260,0	265,0	270,0	275,0	280,0	285,0	290,0	295,0	300,0	305,0	310,0	315,0	320,0	325,0	330,0	335,0	340,0	345,0	350,0	355,0	360,0	365,0	370,0	375,0	380,0	385,0	390,0	395,0	400,0	405,0	410,0	415,0	420,0	425,0	430,0	435,0	440,0	445,0	450,0	455,0	460,0	465,0	470,0	475,0	480,0	485,0	490,0	495,0	500,0
220,0	116,307	94,229	7,273	1,106	1,546	1,904	0,979	1,436	1,464	1,152	0,481	0,663	0,380	0,386	0,157	0,268	0,078	0,077	-0,038	-0,045	-0,224	-0,125	-0,147	-0,076	-0,103	-0,131	0,050	-0,330	-0,127	-0,113	-0,103	-0,203	-0,436	-0,343	-0,154	-0,302	-0,249	-0,170	-0,230	-0,391	-0,284	-0,127	2,398	6,080	7,965	4,027	0,399	-0,168	-0,337	-0,330	-0,357	-0,130	-0,264	-0,048	-0,213	0,139	0,135
221,0	114,365	110,737	8,369	1,489	1,964	1,194	1,336	0,975	1,720	0,659	0,706	0,499	0,488	0,207	0,209	0,147	0,228	0,021	-0,158	-0,077	-0,056	-0,031	-0,085	-0,087	-0,084	0,082	-0,112	-0,012	-0,076	-0,065	-0,173	-0,188	-0,267	-0,190	-0,152	-0,241	-0,300	-0,256	-0,076	-0,246	-0,215	-0,030	2,002	5,004	8,431	4,534	0,415	-0,390	-0,285	-0,331	-0,309	-0,025	-0,227	-0,079	-0,082	-0,166	-0,050
222,0	103,773	179,761	33,110	1,371	1,376	1,241	1,220	1,451	0,962	0,676	0,692	0,585	0,320	0,427	0,483	0,191	0,189	0,112	-0,090	0,088	-0,300	-0,134	-0,134	-0,131	-0,284	-0,135	-0,272	-0,021	-0,214	-0,102	-0,284	-0,324	-0,331	-0,448	-0,208	-0,331	-0,324	-0,227	-0,018	-0,177	-0,371	-0,214	0,915	3,200	7,367	8,854	3,030	-0,044	-0,259	-0,240	-0,185	-0,289	-0,096	-0,076	-0,134	-0,119	0,141
223,0	74,115	189,787	38,327	1,672	1,364	1,184	1,511	1,360	0,889	1,120	0,962	0,448	0,505	0,385	0,281	0,181	0,004	0,055	0,112	-0,001	0,120	-0,014	-0,046	-0,283	-0,262	-0,112	-0,215	-0,172	-0,153	-0,114	-0,412	-0,203	-0,272	-0,226	-0,361	-0,394	-0,469	-0,318	-0,057	-0,193	-0,332	-0,297	0,205	3,278	6,889	9,930	3,444	0,254	-0,045	-0,214	-0,338	-0,216	-0,411	-0,101	0,064	0,106	0,193
224,0	49,042	203,418	76,976	2,222	1,261	0,948	1,712	1,161	1,323	0,675	0,722	0,715	0,468	0,333	0,069	0,327	0,243	-0,018	0,033	-0,050	-0,036	-0,085	-0,137	-0,207	-0,462	-0,214	0,094	-0,169	-0,180	-0,279	-0,211	-0,244	-0,333	-0,301	-0,266	-0,170	-0,287	-0,289	-0,151	-0,205	-0,319	-0,270	-0,087	1,517	5,796	9,554	7,263	1,437	-0,250	-0,267	-0,250	-0,186	0,082	-0,152	-0,231	-0,180	-0,039
225,0	35,264	196,451	114,274	8,911	1,645	2,012	1,203	1,172	1,160	0,745	0,817	0,556	0,404	0,098	0,236	0,187	-0,011	0,050	0,097	-0,212	-0,116	-0,020	-0,262	-0,028	-0,048	-0,174	-0,047	-0,250	-0,313	-0,138	-0,191	-0,360	-0,246	-0,512	-0,144	-0,401	-0,342	-0,071	-0,385	-0,151	-0,130	-0,166	-0,262	0,469	4,436	9,737	8,824	2,783	0,191	-0,221	-0,306	-0,117	-0,124	-0,234	-0,218	0,001	0,113
226,0	17,513	196,088	179,139	13,622	1,583	1,563	1,464	1,423	1,225	1,141	0,514	0,692	0,697	0,326	0,042	0,717	0,193	0,210	0,170	-0,088	0,058	0,051	-0,226	-0,328	-0,222	-0,057	-0,118	0,058	-0,269	-0,254	-0,307	-0,392	-0,246	-0,396	-0,329	-0,542	-0,286	-0,398	-0,211	-0,093	-0,164	-0,292	-0,407	-0,003	2,507	8,887	10,541	6,549	0,801	-0,468	-0,288	-0,367	-0,051	-0,093	-0,143	-0,131	-0,134
227,0	10,531	151,505	231,792	26,960	1,461	1,168	1,833	1,940	1,036	0,758	0,284	0,371	0,346	0,411	0,086	0,080	0,088	0,010	-0,137	0,090	0,039	0,003	-0,066	-0,200	-0,160	-0,151	-0,327	-0,281	-0,271	-0,038	-0,207	-0,224	-0,220	-0,339	-0,532	-0,341	-0,393	-0,374	-0,245	-0,102	-0,136	-0,258	-0,170	-0,083	1,459	6,051	11,509	9,985	2,867	-0,169	-0,388	-0,118	-0,203	-0,153	-0,055	0,010	0,229
228,0	4,696	130,682	301,125	67,875	1,816	1,590	0,912	1,682	1,317	0,929	0,924	0,308	0,432	0,272	0,147	0,122	-0,082	-0,079	0,019	0,031	0,046	0,019	-0,278	-0,200	-0,003	-0,077	-0,089	-0,122	-0,273	-0,240	-0,252	-0,207	-0,105	-0,243	-0,300	-0,315	-0,272	-0,301	-0,304	-0,088	-0,005	-0,054	-0,354	-0,201	0,513	3,773	9,878	13,593	5,133	0,078	-0,131	-0,035	-0,237	-0,244	0,077	-0,076	0,050
229,0	4,266	88,090	333,538	124,958	3,671	1,319	1,199	1,284	1,034	0,733	0,575	0,460	0,380	0,617	0,182	0,008	-0,006	-0,093	0,018	-0,004	-0,135	-0,099	-0,018	-0,161	-0,118	-0,176	-0,160	-0,124	-0,148	-0,221	-0,242	-0,175	-0,378	-0,219	-0,435	-0,392	-0,328	-0,244	-0,230	-0,087	-0,009	-0,222	-0,121	-0,296	0,020	2,908	8,611	15,380	9,527	1,493	-0,112	-0,172	-0,212	-0,098	-0,080	-0,043	0,017
230,0	3,332	61,969	343,273	204,713	5,505	1,693	1,721	1,481	1,491	0,849	0,818	0,505	0,505	0,338	0,046	0,339	0,020	0,042	-0,037	-0,159	-0,104	-0,074	-0,279	-0,238	-0,135	-0,092	-0,319	-0,222	0,002	-0,249	-0,188	-0,166	-0,239	-0,213	-0,553	-0,333	-0,449	-0,302	-0,341	-0,111	-0,191	-0,050	-0,163	-0,268	-0,230	0,952	6,294	15,056	12,483	3,904	0,067	0,118	-0,068	-0,021	-0,008	-0,224	-0,024
231,0	2,896	29,187	316,306	276,492	20,617	1,631	1,168	1,235	1,116	1,171	0,837	0,728	0,331	0,348	0,619	0,431	0,164	-0,044	0,083	0,057	-0,112	-0,370	-0,049	-0,194	-0,269	-0,116	-0,078	-0,146	-0,051	-0,258	-0,321	-0,268	-0,267	-0,282	-0,221	-0,321	-0,280	-0,268	-0,476	-0,338	-0,295	-0,160	-0,056	-0,228	-0,428	0,433	3,879	12,703	16,257	9,921	1,410	-0,155	-0,274	-0,096	-0,219	-0,231	0,137
232,0	5,314	14,905	275,343	376,932	32,809	1,280	1,394	1,425	1,163	1,422	1,186	0,610	0,493	0,584	0,288	0,424	0,157	0,114	-0,059	-0,070	-0,007	-0,192	-0,053	-0,052	-0,346	-0,079	0,077	-0,241	-0,149	-0,241	-0,119	-0,330	-0,324	-0,059	-0,325	-0,284	-0,319	-0,173	-0,292	-0,229	-0,220	0,025	-0,372	-0,067	-0,255	-0,148	1,659	9,451	17,562	12,863	4,037	0,177	-0,040	-0,173	-0,138	0,010	0,085
233,0	5,229	9,793	202,352	452,365	97,796	2,138	1,562	1,314	2,273	1,119	0,818	0,708	0,382	0,383	0,273	0,402	0,146	-0,185	0,105	-0,229	0,024	0,004	-0,163	-0,111	-0,093	-0,180	-0,194	-0,053	-0,257	-0,234	-0,117	-0,260	-0,274	-0,465	-0,459	-0,194	-0,398	-0,245	-0,225	-0,370	-0,346	-0,032	0,065	-0,215	-0,193	-0,215	0,375	5,492	15,257	15,050	6,683	0,531	-0,306	-0,219	-0,029	0,008	0,240
234,0	6,941	4,879	154,086	506,707	154,010	3,396	2,038	2,226	1,171	1,256	0,715	0,711	0,574	0,446	0,232	0,114	-0,007	0,087	-0,083	-0,142	0,125	-0,177	0,036	-0,111	-0,005	-0,138	-0,194	-0,365	-0,051	0,038	-0,228	-0,209	-0,361	-0,265	-0,525	-0,294	-0,458	-0,217	-0,241	-0,364	0,048	0,029	0,017	-0,002	-0,364	-0,217	-0,125	3,564	12,361	17,848	12,876	2,673	-0,134	-0,084	-0,101	-0,048	-0,026
235,0	6,334	3,650	97,723	512,520	278,685	8,943	1,634	1,257	1,453	1,199	0,796	0,542	0,681	0,332	0,456	0,106	0,159	0,187	0,171	0,068	-0,098	-0,171	-0,158	-0,033	-0,196	-0,334	-0,198	-0,179	-0,283	-0,343	-0,195	-0,350	-0,239	-0,295	-0,193	-0,222	-0,182	-0,195	-0,348	-0,413	-0,402	-0,093	-0,071	-0,081	-0,129	-0,290	-0,284	1,532	9,063	18,470	15,466	4,585	0,238	-0,130	-0,155	-0,212	0,016
236,0	7,967	3,545	63,504	475,284	368,570	22,657	1,731	1,585	1,062	0,641	0,800	0,592	0,475	0,426	0,107	0,268	0,142	0,303	0,016	0,057	-0,210	-0,094	-0,167	-0,116	-0,163	-0,217	-0,228	-0,325	0,004	-0,045	-0,172	-0,284	-0,300	-0,329	-0,373	-0,282	-0,480	-0,300	-0,174	-0,377	-0,179	-0,130	0,031	-0,162	-0,028	-0,180	-0,167	0,537	4,882	15,268	19,599	12,164	0,963	-0,048	-0,011	0,046	-0,204
237,0	7,594	5,556	22,284	378,581	535,659	60,551	1,773	1,472	0,965	1,045	0,716	0,504	0,744	0,219	0,419	0,084	0,068	0,207	-0,131	-0,126	-0,183	-0,179	-0,069	-0,011	-0,326	-0,068	-0,208	-0,101	-0,156	-0,190	-0,244	-0,289	-0,353	-0,308	-0,202	-0,259	-0,276	-0,399	-0,381	-0,303	-0,264	-0,343	0,030	0,273	-0,037	-0,259	-0,321	0,056	2,562	12,021	21,439	18,482	4,340	0,169	-0,113	0,238	0,163
238,0	9,163	5,838	11,714	307,720	607,902	119,336	2,336	2,476	1,155	0,460	0,895	0,989	0,442	0,470	0,318	0,362	0,195	0,118	-0,112	0,026	-0,235	-0,002	-0,111	0,105	-0,205	-0,311	-0,182	-0,281	-0,089	-0,260	-0,170	-0,477	-0,040	-0,291	-0,363	-0,174	-0,283	-0,404	-0,202	-0,229	-0,241	-0,482	-0,078	0,041	0,204	-0,035	-0,303	-0,080	1,049	7,236	19,450	24,699	8,663	0,992	-0,199	-0,173	0,081
239,0	7,745	7,029	5,347	187,092	696,784	225,916	3,495	1,354	1,362	1,073	0,584	0,492	0,400	0,187	0,350	0,185	-0,015	-0,218	-0,016	-0,159	-0,232	0,058	0,078	0,030	-0,163	-0,221	-0,344	0,063	-0,337	-0,003	-0,197	-0,058	-0,255	-0,233	-0,188	-0,468	-0,187	-0,107	-0,418	-0,410	-0,206	-0,393	-0,183	0,136	0,189	-0,160	-0,253	-0,147	0,258	3,895	15,029	29,282	14,765	3,358	-0,044	-0,149	0,104
240,0	6,920	10,925	3,343	139,142	692,295	360,545	7,025	1,201	1,153	1,181	0,501	0,610	0,267	0,261	0,065	0,338	0,139	0,039	0,024	-0,168	-0,102	0,022	-0,180	-0,080	-0,111	-0,459	0,130	-0,201	-0,157	-0,052	-0,217	-0,031	-0,278	-0,398	-0,288	-0,214	-0,272	-0,225	-0,381	-0,316	-0,308	-0,249	-0,333	-0,154	0,179	0,064	-0,140	-0,294	-0,046	1,693	10,721	27,879	25,384	6,052	0,332	-0,011	0,191
